,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
174,"Egypt, Arab Rep.",EGY,SP.POP.TOTL.FE.ZS,49.4774217270658,49.4709845521245,49.46645681044021,49.463829936317794,49.4630140499479,49.4640019064223,49.4665427380165,49.4699716435901,49.4734822888726,49.4765587287395
177,El Salvador,SLV,SP.POP.TOTL.FE.ZS,52.7446527829102,52.808980298246794,52.8689087077782,52.9248828140637,52.9775161613509,53.0266575437251,53.0721382365151,53.11400243585629,53.1520945836013,53.18640294989321
180,Equatorial Guinea,GNQ,SP.POP.TOTL.FE.ZS,45.3756912067657,45.178245349309705,45.0026569752102,44.8505844834546,44.72019339794189,44.611543465541295,44.523806505188595,44.455852940412505,44.4075953810596,44.377167254104606
183,Eritrea,ERI,SP.POP.TOTL.FE.ZS,50.0130835113842,,,,,,,,,
186,Estonia,EST,SP.POP.TOTL.FE.ZS,53.404870524312294,53.381253859123895,53.35039588557979,53.3016327160095,53.2265667170976,53.1224672561559,52.995515348392296,52.8584268202066,52.7306247732243,52.624385713499606
189,Eswatini,SWZ,SP.POP.TOTL.FE.ZS,52.71695075413071,52.5260705003776,52.289429107976,52.036762731707704,51.7924201884355,51.5619473713503,51.344762839524606,51.14893062764789,50.9821597323655,50.848673118628
192,Ethiopia,ETH,SP.POP.TOTL.FE.ZS,50.0887919502221,50.0682411943484,50.046308258924896,50.025939335249994,50.009061792978706,49.9960170249525,49.986125930200394,49.978888418806704,49.97355028845039,49.969517738499896
195,Faroe Islands,FRO,SP.POP.TOTL.FE.ZS,,,,,,,,,,
198,Fiji,FJI,SP.POP.TOTL.FE.ZS,48.9800810931946,49.026026945952,49.08063983216311,49.1363003161186,49.187688227005204,49.2308626946628,49.2683427164771,49.3005014205028,49.3278873650915,49.3534453909
201,Finland,FIN,SP.POP.TOTL.FE.ZS,50.8951888261971,50.865900281249296,50.836792312681894,50.809076776876296,50.783579584348296,50.7605524769022,50.7397976402246,50.72075848538321,50.702609957522895,50.684983426335705
204,France,FRA,SP.POP.TOTL.FE.ZS,51.5531348950066,51.5465554963748,51.5421164534038,51.541326192429,51.545057642915296,51.5543458477423,51.568447077305606,51.584240481133605,51.5973833824064,51.6048791736532
207,French Polynesia,PYF,SP.POP.TOTL.FE.ZS,48.8741212243465,48.961876614807,49.062264178861504,49.1555427969954,49.2283583346453,49.2767029893363,49.3067929940458,49.324565226003294,49.337773242386795,49.356007746418705
210,Gabon,GAB,SP.POP.TOTL.FE.ZS,49.3105010064531,49.2278289078498,49.160131420363506,49.10969895440121,49.0765470891158,49.060303344519205,49.059042663448295,49.0686201649149,49.08389940430221,49.101866894786795
213,"Gambia, The",GMB,SP.POP.TOTL.FE.ZS,50.3781635826684,50.3835655268711,50.387430310412796,50.391470116406005,50.3945614758421,50.397322828637,50.3999277293464,50.4021328963919,50.403970531108,50.4051866539991
216,Georgia,GEO,SP.POP.TOTL.FE.ZS,52.3391501911781,52.3121864463373,52.2814107537208,52.256480914725294,52.2449791013324,52.2489968140613,52.2660458205768,52.29123750357861,52.317826280374,52.340346061529
219,Germany,DEU,SP.POP.TOTL.FE.ZS,50.9536138788803,50.924688390690605,50.8942335778805,50.859282775511,50.8181326341287,50.7696483565604,50.7155708743438,50.6603673700529,50.6099449446524,50.5682013421545
222,Ghana,GHA,SP.POP.TOTL.FE.ZS,49.4060926244124,49.3916401059929,49.37762426966,49.3645645389737,49.3528198993702,49.3425396796083,49.333594629720494,49.32582970438379,49.318962564688206,49.312821813317
225,Gibraltar,GIB,SP.POP.TOTL.FE.ZS,,,,,,,,,,
228,Greece,GRC,SP.POP.TOTL.FE.ZS,50.909154374603006,50.9223022211331,50.9207158958414,50.9142023611732,50.9100834288876,50.9102009828752,50.91258778011989,50.916201905221,50.9185701142279,50.9181760128699
231,Greenland,GRL,SP.POP.TOTL.FE.ZS,,,,,,,,,,
234,Grenada,GRD,SP.POP.TOTL.FE.ZS,49.46434925926621,49.47697576592339,49.50264393743301,49.5307621671258,49.555212904756296,49.5769206352085,49.5905261828743,49.60744376351521,49.6205424903127,49.638727681547095
237,Guam,GUM,SP.POP.TOTL.FE.ZS,49.218485816268995,49.262453903369,49.3014992363557,49.346301713590094,49.3873995217824,49.425583621768894,49.4591583932408,49.494480304035704,49.528079141636,49.5565311672384
240,Guatemala,GTM,SP.POP.TOTL.FE.ZS,50.8657689531034,50.851037413034895,50.836862002968594,50.8224457864663,50.8073410583344,50.7915267122589,50.775386714934704,50.75934949592279,50.743896587522,50.729390814145
243,Guinea,GIN,SP.POP.TOTL.FE.ZS,52.309874257938205,52.279086281378,52.2368080775402,52.180285661247396,52.1087996461891,52.02250146825379,51.9246048648289,51.8211107004733,51.719080503186596,51.623127816232795
246,Guinea-Bissau,GNB,SP.POP.TOTL.FE.ZS,51.4803620738633,51.4366213681034,51.394350038434496,51.3517521816226,51.3072420270008,51.26147728331039,51.21478262677049,51.1688071945639,51.124228688694004,51.0825214253267
249,Guyana,GUY,SP.POP.TOTL.FE.ZS,50.3590951944672,50.296006820336,50.198016281192295,50.092943011982406,49.999934847732604,49.9247436032063,49.862103305134795,49.8080248316125,49.7593816869471,49.7114647470819
252,Haiti,HTI,SP.POP.TOTL.FE.ZS,50.6648997259493,50.654741105239104,50.6458236544716,50.6398469543152,50.63764896396071,50.6399183909632,50.6455757670455,50.652209893516996,50.6565123089344,50.65618314807771
255,Honduras,HND,SP.POP.TOTL.FE.ZS,50.110073850297205,50.10015401544229,50.0912084799678,50.082691470869705,50.074246365373796,50.065798031970104,50.0574291103123,50.049340168466905,50.0416935363476,50.0345697679302
258,"Hong Kong SAR, China",HKG,SP.POP.TOTL.FE.ZS,53.1210153629479,53.25832957633389,53.382500232762204,53.4993219025749,53.612973685470294,53.7239038199687,53.8305014223997,53.9324429767349,54.0288485033331,54.119361002045096
261,Hungary,HUN,SP.POP.TOTL.FE.ZS,52.5401010480422,52.5263314012268,52.5104274255554,52.49385746504001,52.4774837197054,52.4619167289554,52.4470642936736,52.4324280334941,52.4171165180471,52.400399571444105
264,Iceland,ISL,SP.POP.TOTL.FE.ZS,49.63876205285789,49.68339464811051,49.7405209141977,49.793969421044906,49.8284565327326,49.837602232329594,49.8314867148133,49.8117085224168,49.7901408990759,49.7714285714286
267,India,IND,SP.POP.TOTL.FE.ZS,47.9770561075532,47.9830440835851,47.9900253811063,47.997269942958205,48.0042675829424,48.01089325186211,48.01728595607471,48.0235396426684,48.0298342961521,48.0363267106575
270,Indonesia,IDN,SP.POP.TOTL.FE.ZS,49.615987921603896,49.6155385750327,49.621626333112296,49.629469631558706,49.635729686618205,49.6395916710671,49.6420562888625,49.6438821889217,49.64638318891729,49.6504687615261
273,"Iran, Islamic Rep.",IRN,SP.POP.TOTL.FE.ZS,49.59182331700621,49.5460179504387,49.478210960668,49.4173962179347,49.383328597406795,49.3809529992029,49.402480763044395,49.439129760605496,49.4778396185064,49.5095665942356
276,Iraq,IRQ,SP.POP.TOTL.FE.ZS,49.48557548899839,49.4773379200986,49.467074298292,49.4558910336639,49.4444928435687,49.43281776725411,49.4207048110328,49.408681527758894,49.3973015220204,49.38709309065129
279,Ireland,IRL,SP.POP.TOTL.FE.ZS,50.3668934452742,50.41993629181379,50.4657641569814,50.4970982430387,50.508681503389596,50.49770113229079,50.466909067652395,50.4255094845201,50.385683721734196,50.3554014787164
282,Isle of Man,IMN,SP.POP.TOTL.FE.ZS,,,,,,,,,,
285,Israel,ISR,SP.POP.TOTL.FE.ZS,50.5806591207938,50.5421180924986,50.499002305673294,50.4549658425488,50.4125338910993,50.37257441869411,50.334582790150606,50.2981265779531,50.2624547604618,50.2270626411451
288,Italy,ITA,SP.POP.TOTL.FE.ZS,51.612218482349206,51.590355619219,51.555134334155,51.515427459552704,51.4776226921078,51.442853170565,51.4092548905956,51.376669625565206,51.34435964193089,51.3118839212073
291,Jamaica,JAM,SP.POP.TOTL.FE.ZS,50.2617543521925,50.263253449528,50.2753339793124,50.290855705310705,50.304805494523706,50.3166976459634,50.328089650676795,50.339829626901206,50.35337588700111,50.3694328001753
294,Japan,JPN,SP.POP.TOTL.FE.ZS,51.0997356974841,51.111002044943895,51.1207158859103,51.129397263589404,51.1374949555667,51.1450986925687,51.152245934690896,51.1592591291078,51.166511124177596,51.174277034228794
297,Jordan,JOR,SP.POP.TOTL.FE.ZS,49.0972950301311,49.18388378290479,49.255733542184295,49.311422517458,49.35117869356879,49.3763008559719,49.3883815799155,49.389683544596004,49.382613634125,49.368733546731704
300,Kazakhstan,KAZ,SP.POP.TOTL.FE.ZS,51.6432050149087,51.6271326493716,51.6140379151607,51.6000959161154,51.582727303251,51.561244630249206,51.5368868723231,51.5114836468188,51.487540473973205,51.46678807950721
303,Kenya,KEN,SP.POP.TOTL.FE.ZS,50.3428182740994,50.3382087675639,50.33434983921129,50.3307308172154,50.326996515062895,50.32315912830529,50.319449102177,50.3160203897178,50.313085561909396,50.3108033467668
306,Kiribati,KIR,SP.POP.TOTL.FE.ZS,50.8120494581563,50.834438082343794,50.85598820988629,50.871675793284396,50.8767026963679,50.8766629046735,50.866819093672504,50.848569603425396,50.8349772124345,50.8196172328918
309,"Korea, Dem. People's Rep.",PRK,SP.POP.TOTL.FE.ZS,51.1319197619849,51.1236444804363,51.1155418279548,51.108315884004604,51.1025565926583,51.098432036302,51.0957216520953,51.0938524844571,51.0921658005846,51.09015290268379
312,"Korea, Rep.",KOR,SP.POP.TOTL.FE.ZS,49.8984908514622,49.8972436208815,49.89390557926271,49.8916947834868,49.8928036386298,49.897935498514606,49.9062810833983,49.9168817920843,49.9281673608253,49.93902282390571
315,Kosovo,XKX,SP.POP.TOTL.FE.ZS,,,,,,,,,,
