,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
415,Nepal,NPL,SP.POP.TOTL.MA.ZS,48.6805735835883,47.96226336795961,47.1655522137758,46.4374613794063,45.89282937392671,45.5682062014941,45.4351770848736,45.464656670740396,45.60482006968861,45.812962765173204
418,Netherlands,NLD,SP.POP.TOTL.MA.ZS,49.6683542444939,49.677015933324796,49.68563563228379,49.6966319465595,49.7115504733243,49.731077477352294,49.7542408962677,49.779056435218706,49.8027358170144,49.8232172482399
421,New Caledonia,NCL,SP.POP.TOTL.MA.ZS,50.3917281943159,50.4057055824321,50.4191281377844,50.42505191758921,50.421305826711205,50.4030052153616,50.374694669846605,50.3389455187045,50.299727327705405,50.2635809885425
424,New Zealand,NZL,SP.POP.TOTL.MA.ZS,49.1228816608784,49.140711054497004,49.1544906638657,49.1642733193184,49.1699582644115,49.171189018010395,49.168093178498005,49.1622306025282,49.1560009048597,49.150735769092904
427,Nicaragua,NIC,SP.POP.TOTL.MA.ZS,49.2607108038492,49.2648929466296,49.27260574994121,49.28045069182551,49.2859500381956,49.2884642534784,49.2885886152565,49.287294319915105,49.2855018170491,49.2840574625854
430,Niger,NER,SP.POP.TOTL.MA.ZS,50.005650090535795,50.0418286742235,50.0775252783315,50.11176089706429,50.143965529266204,50.1741635840356,50.202523906153296,50.2289974023331,50.253537868136995,50.2761515478648
433,Nigeria,NGA,SP.POP.TOTL.MA.ZS,50.5877642147284,50.6009470150904,50.6133726175171,50.6250213606557,50.635891128291995,50.6459767820051,50.6552942959052,50.6638864537293,50.671799509884394,50.6790755334151
436,North Macedonia,MKD,SP.POP.TOTL.MA.ZS,49.9887574524098,50.001856070193206,50.0155823637507,50.027096227704604,50.035227608826894,50.0386880474599,50.037800264745904,50.0335340575922,50.0276463456427,50.021167525847396
439,Northern Mariana Islands,MNP,SP.POP.TOTL.MA.ZS,,,,,,,,,,
442,Norway,NOR,SP.POP.TOTL.MA.ZS,50.0701549106922,50.1477347340775,50.220554940879495,50.2866730620277,50.345290333697605,50.3957950466106,50.4384739302203,50.4753688675074,50.5090763673114,50.5416102066648
445,Oman,OMN,SP.POP.TOTL.MA.ZS,61.48918120686461,62.6690844077711,63.7357313326985,64.593550693959,65.2149898496511,65.62374629315791,65.8681685050299,65.9859164845213,66.0191614378475,65.9972482788035
448,Pakistan,PAK,SP.POP.TOTL.MA.ZS,51.501584202759105,51.49085307370439,51.481301717243205,51.473517740548296,51.4678128788339,51.464281856474,51.4625647786086,51.4619252830235,51.461417065226605,51.460368264211
451,Palau,PLW,SP.POP.TOTL.MA.ZS,,,,,,,,,,
454,Panama,PAN,SP.POP.TOTL.MA.ZS,50.2264278308335,50.2086253376421,50.190707888806706,50.172236973673705,50.1533832767627,50.133921284059,50.1141531385782,50.0946163489007,50.07568692834471,50.057847837937096
457,Papua New Guinea,PNG,SP.POP.TOTL.MA.ZS,50.9011139429426,50.92346314108379,50.948129446042,50.9720535470362,50.992911492824405,51.0104009228501,51.0250842672195,51.0372721268686,51.047746731784294,51.0568706230573
