,Country Name,Country Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
152,Curacao,CUW,9.77999973297119,9.77999973297119,13.029999732971199,12.609999656677198,11.710000038147,9.77999973297119,9.77999973297119,13.4300003051758,9.77999973297119,19.0699996948242
155,Cyprus,CYP,7.860000133514401,11.8000001907349,15.869999885559098,16.0900001525879,14.9099998474121,12.9499998092651,11.0500001907349,8.36999988555908,7.07000017166138,7.59000015258789
158,Czech Republic,CZE,6.71000003814697,6.98000001907349,6.949999809265139,6.110000133514401,5.050000190734861,3.95000004768372,2.89000010490417,2.24000000953674,2.00999999046326,2.5499999523162797
161,Denmark,DNK,7.76999998092651,7.800000190734861,7.380000114440921,6.92999982833862,6.28000020980835,5.9899997711181605,5.82999992370605,5.13000011444092,5.019999980926509,5.639999866485599
164,Djibouti,DJI,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397,26.059999465942397
170,Dominican Republic,DOM,6.09000015258789,6.71999979019165,7.349999904632571,6.71999979019165,7.610000133514401,7.28000020980835,5.82999992370605,5.860000133514401,6.17999982833862,6.130000114440921
173,Ecuador,ECU,3.4600000381469704,3.2300000190734903,3.07999992370605,3.4800000190734903,3.6199998855590803,4.59999990463257,3.83999991416931,3.52999997138977,3.8099999427795397,6.110000133514401
176,"Egypt, Arab Rep.",EGY,11.8500003814697,12.6000003814697,13.1499996185303,13.1000003814697,13.0500001907349,12.4499998092651,11.770000457763699,9.85999965667725,7.849999904632571,7.94000005722046
179,El Salvador,SLV,4.30000019073486,3.83999991416931,3.6900000572204603,4.150000095367431,4.0,4.42000007629395,4.3899998664856,4.01000022888184,4.17000007629395,5.019999980926509
188,Estonia,EST,12.3299999237061,10.020000457763699,8.63000011444092,7.349999904632571,6.19000005722046,6.7600002288818395,5.7600002288818395,5.369999885559079,4.449999809265139,6.800000190734861
191,Eswatini,SWZ,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503,22.719999313354503
194,Ethiopia,ETH,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
200,Fiji,FJI,4.40999984741211,9.0,4.32000017166138,6.17000007629395,4.32000017166138,4.32000017166138,4.32000017166138,4.32000017166138,4.32000017166138,4.32000017166138
203,Finland,FIN,7.78000020980835,7.69000005722046,8.189999580383299,8.659999847412111,9.38000011444092,8.81999969482422,8.64000034332275,7.360000133514401,6.69000005722046,7.7600002288818395
206,France,FRA,8.8100004196167,9.39999961853027,9.920000076293949,10.289999961853,10.3500003814697,10.0500001907349,9.40999984741211,9.02000045776367,8.409999847412111,8.01000022888184
215,"Gambia, The",GMB,9.420000076293949,9.420000076293949,9.420000076293949,9.420000076293949,9.420000076293949,9.420000076293949,9.420000076293949,10.1599998474121,9.420000076293949,9.420000076293949
218,Georgia,GEO,19.6299991607666,19.6499996185303,19.4200000762939,17.4400005340576,16.5100002288818,16.6000003814697,13.9399995803833,12.6700000762939,11.5699996948242,18.5
221,Germany,DEU,5.82000017166138,5.380000114440921,5.230000019073491,4.980000019073491,4.61999988555908,4.11999988555908,3.75,3.3800001144409197,3.14000010490417,3.8099999427795397
224,Ghana,GHA,2.17000007629395,2.17000007629395,2.17000007629395,2.17000007629395,6.80999994277954,2.17000007629395,4.2199997901916495,2.17000007629395,2.17000007629395,2.17000007629395
230,Greece,GRC,17.8600006103516,24.440000534057603,27.469999313354503,26.489999771118196,24.899999618530302,23.5400009155273,21.489999771118196,19.2900009155273,17.3099994659424,16.2999992370605
233,Greenland,GRL,9.39999961853027,9.80000019073486,10.1000003814697,10.3000001907349,9.10000038146973,9.10000038146973,9.10000038146973,9.10000038146973,9.10000038146973,9.10000038146973
236,Grenada,GRD,22.899999618530302,22.899999618530302,24.2000007629395,24.5,22.899999618530302,22.899999618530302,22.899999618530302,22.899999618530302,22.899999618530302,22.899999618530302
239,Guam,GUM,13.3000001907349,12.1999998092651,11.5,7.599999904632571,6.900000095367429,5.400000095367429,5.400000095367429,5.400000095367429,5.400000095367429,5.400000095367429
242,Guatemala,GTM,4.13000011444092,2.75999999046326,3.0199999809265097,2.72000002861023,2.50999999046326,2.57999992370605,2.4600000381469704,2.27999997138977,2.19000005722046,2.19000005722046
